SMILES,Cid
O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,Cid471
O=C2NC(Oc1ccc(N)cc12)CC,Cid472
O=C(NCCCC)NS(=O)(=O)c1ccc(N)cc1,Cid473
Oc1ccc(c(c1)C)Cl,Cid474
O=C1OC(=C(O1)COC(=O)C4N3C(=O)C(NC(=O)C(N)c2ccccc2)C3SC4(C)(C))C,Cid475
n1c(nc(nc1NC(C)C)SC)NC(C)C,Cid476
O=C(Nc1c(cccc1C)C)c2cc(c(cc2(O))Cl)S(=O)(=O)N,Cid477
Oc1ccc(cc1C(C)(C)C)C,Cid478
Oc1ccc(c(O)c1)CCCC,Cid479
O=C(NCc1ccccc1)CCCl,Cid480
OCCOCCOc1ccc(cc1)CCCCCCCCC,Cid481
Oc1ccc(N)cc1,Cid482
O=C(OC(C)C)Nc1cccc(c1)Cl,Cid483
O=[N+]([O-])c1cc(c(N)c(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F,Cid484
Nc1c(cccc1C(C)C)C(C)C,Cid485
O=C1N(c3ccc(cc3(C(=NC1(O))c2ccccc2))Cl)C,Cid486
N#CCN(C)C,Cid487
O=C1Oc2ccccc2(N1),Cid488
NC(C)CC(N)(C)C,Cid489
c1ccc(cc1)[Si](Cl)(Cl)Cl,Cid490
O=C1N=C(OC1c2ccccc2)N,Cid491
OCCN(c1cccc(N)c1)CCO,Cid492
O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C,Cid493
Nc1ccc2ccc3cccc4ccc1c2c34,Cid494
N=C(N)NC(=N)NCCCC,Cid495
O=C(O)C(CCl)(Cl)Cl,Cid496
O=C1NC(Oc2ccccc12)CCCl,Cid497
O=C(OCC)OC(OC(=O)C3N2C(=O)C(NC(=O)C(N)c1ccccc1)C2SC3(C)(C))C,Cid498
Oc1cc(ccc1CC)C,Cid499
O=C(O)C(O)(c1ccccc1)C2CCCCC2,Cid500
O=C(OCCN(CC)CC)c1ccc(N)cc1,Cid501
O=C(O)C4N3C(=O)C(NC(=O)C(C(=O)Oc1ccccc1)c2ccccc2)C3SC4(C)(C),Cid502
O=C(OCC1CC2OC2(CC1(C)))CCCCC(=O)OCC3CC4OC4(CC3(C)),Cid503
O=C(NC1CCCCCCC1)N(C)C,Cid504
O(CC)P(OCC)(=S)S,Cid505
O=C1C=C(N)N(C(=O)N1CC)CC=C,Cid506
O(C(=S)S)C(C)C,Cid507
O1CC(OC1C=C)C,Cid508
O=C(OCCSCC)C=C,Cid509
O(C(=S)S)C(C)C,Cid510
Nc1c(cc(cc1C)C)C,Cid511
O=C(Nc1ccc(cc1)C(=O)CCl)C,Cid512
O(C(C)C)P(OC(C)C)OC(C)C,Cid513
c1cc(ccc1C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,Cid514
O(CNc1ccccc1)CCN,Cid515
O=C(OCC=C)C=CC(=O)OCC=C,Cid516
c1ccc2c(c1)N(CC)CCC2,Cid517
O=C(C=C)N(CC)CC,Cid518
O=C(Nc1ccccc1(OC))CC(=O)C,Cid519
Oc1cc(cc(c1(O))C)Cl,Cid520
N#CC(NC)C,Cid521
NC(C)C,Cid522
Oc1ccc(cc1)Nc2ccccc2,Cid523
O=C(O)CCC(=O)c1cc(OCC)c(OCC)cc1(OCC),Cid524
Oc1ccc(cc1)C,Cid525
OCCN(CC(CC)CCCC)CC(CC)CCCC,Cid526
O=C(OC=1c3ccccc3(C(=O)C=1c2c(cc(cc2C)C)C))C,Cid527
n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)c4C,Cid528
O=C(c1ccc(cc1)Cl)c3ccccc3(c2ncc[nH]2),Cid529
O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC,Cid530
O=C(Nc2ccc(Oc1ccc(OC)cc1)cc2)N(C)C,Cid531
O=C(O)Cc1ccc(cc1)c2ccccc2,Cid532
